edge_id,source_flags,worldcover_canopy_fraction,street_tree_fraction,fused_canopy_fraction
141864,neither,0.0,0.0,0.0
141865,neither,0.0,0.0,0.0
141866,neither,0.0,0.0,0.0
141867,neither,0.0,0.0,0.0
141868,neither,0.0,0.0,0.0
141869,neither,0.0,0.0,0.0
141870,neither,0.0,0.0,0.0
141871,neither,0.0,0.0,0.0
141872,neither,0.0,0.0,0.0
141873,neither,0.0,0.0,0.0
141874,neither,0.0,0.0,0.0
141875,neither,0.0,0.0,0.0
141876,neither,0.0,0.0,0.0
141877,neither,0.0,0.0,0.0
141878,neither,0.0,0.0,0.0
141879,neither,0.0,0.0,0.0
141880,worldcover_only,0.038461538461538464,0.0,0.038461538461538464
141881,neither,0.0,0.0,0.0
141882,neither,0.0,0.0,0.0
141883,neither,0.0,0.0,0.0
141884,neither,0.0,0.0,0.0
141885,stl_only,0.0,0.05172413793103448,0.05172413793103448
141886,neither,0.0,0.0,0.0
141887,neither,0.0,0.0,0.0
141888,neither,0.0,0.0,0.0
141889,neither,0.0,0.0,0.0
141890,neither,0.0,0.0,0.0
141891,neither,0.0,0.0,0.0
141892,both,0.16129032258064516,0.06451612903225806,0.22580645161290322
141893,worldcover_only,0.13636363636363635,0.0,0.13636363636363635
141894,neither,0.0,0.0,0.0
141895,both,0.16129032258064516,0.06451612903225806,0.22580645161290322
141896,both,0.3125,0.0625,0.375
141897,both,0.17391304347826086,0.043478260869565216,0.21739130434782608
141898,both,0.5238095238095238,0.2857142857142857,0.6190476190476191
141899,worldcover_only,0.13636363636363635,0.0,0.13636363636363635
141900,neither,0.0,0.0,0.0
141901,neither,0.0,0.0,0.0
141902,neither,0.0,0.0,0.0
141903,neither,0.0,0.0,0.0
141904,neither,0.0,0.0,0.0
141905,neither,0.0,0.0,0.0
141906,neither,0.0,0.0,0.0
141907,neither,0.0,0.0,0.0
141908,neither,0.0,0.0,0.0
141909,neither,0.0,0.0,0.0
141910,both,0.17391304347826086,0.043478260869565216,0.21739130434782608
141911,neither,0.0,0.0,0.0
141912,neither,0.0,0.0,0.0
141913,neither,0.0,0.0,0.0
141914,neither,0.0,0.0,0.0
141915,neither,0.0,0.0,0.0
141916,neither,0.0,0.0,0.0
141917,neither,0.0,0.0,0.0
141918,neither,0.0,0.0,0.0
141919,neither,0.0,0.0,0.0
141920,neither,0.0,0.0,0.0
141921,neither,0.0,0.0,0.0
141922,neither,0.0,0.0,0.0
141923,neither,0.0,0.0,0.0
141924,neither,0.0,0.0,0.0
141925,neither,0.0,0.0,0.0
141926,neither,0.0,0.0,0.0
141927,neither,0.0,0.0,0.0
141928,neither,0.0,0.0,0.0
141929,neither,0.0,0.0,0.0
141930,neither,0.0,0.0,0.0
141931,neither,0.0,0.0,0.0
141932,neither,0.0,0.0,0.0
141933,neither,0.0,0.0,0.0
141934,neither,0.0,0.0,0.0
141935,neither,0.0,0.0,0.0
141936,neither,0.0,0.0,0.0
141937,both,0.3125,0.25,0.375
141938,both,0.3125,0.25,0.375
141939,both,0.24,0.16,0.28
141940,both,0.631578947368421,0.3157894736842105,0.6842105263157895
141941,both,0.24,0.16,0.28
141942,both,0.14285714285714285,0.25,0.35714285714285715
141943,both,0.3333333333333333,0.25,0.4583333333333333
141944,both,0.14285714285714285,0.25,0.35714285714285715
141945,both,0.42105263157894735,0.42105263157894735,0.6842105263157895
141946,both,0.5555555555555556,0.7037037037037037,0.8148148148148148
141947,both,0.21428571428571427,0.42857142857142855,0.5714285714285714
141948,both,0.42105263157894735,0.42105263157894735,0.6842105263157895
141949,both,0.6,0.5333333333333333,0.8666666666666667
141950,both,0.75,0.625,0.9375
141951,both,0.6875,0.53125,0.75
141952,both,0.6875,0.53125,0.75
141953,both,0.5555555555555556,0.7037037037037037,0.8148148148148148
141954,both,0.8,0.8,1.0
141955,both,0.4827586206896552,0.7241379310344828,0.7931034482758621
141956,both,0.21428571428571427,0.42857142857142855,0.5714285714285714
141957,both,0.12121212121212122,0.5151515151515151,0.5454545454545454
141958,stl_only,0.0,0.4375,0.4375
141959,both,0.8,0.8,1.0
141960,both,0.7894736842105263,0.631578947368421,0.9473684210526315
141961,both,0.75,0.625,0.9375
141962,both,0.4827586206896552,0.7241379310344828,0.7931034482758621
141963,both,0.125,0.5,0.5625
141964,both,0.12121212121212122,0.5151515151515151,0.5454545454545454
141965,both,0.3333333333333333,0.25,0.4583333333333333
141966,both,0.6,0.5333333333333333,0.8666666666666667
141967,both,0.7857142857142857,0.42857142857142855,0.8571428571428571
141968,both,0.125,0.5,0.5625
141969,both,0.020833333333333332,0.2916666666666667,0.3125
141970,both,0.058823529411764705,0.4117647058823529,0.47058823529411764
141971,both,0.05263157894736842,0.42105263157894735,0.47368421052631576
141972,both,0.020833333333333332,0.2916666666666667,0.3125
141973,neither,0.0,0.0,0.0
141974,neither,0.0,0.0,0.0
141975,both,0.22033898305084745,0.1271186440677966,0.23728813559322035
141976,both,0.22033898305084745,0.1271186440677966,0.23728813559322035
141977,stl_only,0.0,0.010638297872340425,0.010638297872340425
141978,neither,0.0,0.0,0.0
141979,both,0.2777777777777778,0.1111111111111111,0.2777777777777778
141980,both,0.36,0.08,0.4
141981,stl_only,0.0,0.2857142857142857,0.2857142857142857
141982,neither,0.0,0.0,0.0
141983,neither,0.0,0.0,0.0
141984,neither,0.0,0.0,0.0
141985,worldcover_only,0.10526315789473684,0.0,0.10526315789473684
141986,worldcover_only,0.15,0.0,0.15
141987,neither,0.0,0.0,0.0
141988,neither,0.0,0.0,0.0
141989,neither,0.0,0.0,0.0
141990,neither,0.0,0.0,0.0
141991,neither,0.0,0.0,0.0
141992,neither,0.0,0.0,0.0
141993,both,0.3225806451612903,0.41935483870967744,0.45161290322580644
141994,worldcover_only,0.02702702702702703,0.0,0.02702702702702703
