  22 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91452248379222302004 443 8 263616133-9-9-9
  23 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 443 39715621135-9-9-9
  24 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 443 3 164021243-9-9-9
  25 01 0 1 68 4 4 68-950 6 9 0-9 2 1 6 6 6 6 6 6 6 6 6 6 6 6 6 1 4-9 565811025637912405256004 443 3 216631135-9-9-9
  26 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 443 2 268921137-9-9-9
  27 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91452248379222302004 443 5 362416141 712 7
  28 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 443 1 167836137-9-9-9
  29 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 315316116-9-9-9
  30 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 265611363-9-9-9
  31 10 0 1 68 4 4 68-918 4 120-9 2 1 6 6 6 6 6 6 6 6 6 6 6 6-1 1 5-9  8872 580899351688921004 413 2 566821185-9-9-9
  32 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 2 363616162 7 610
  33 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91709396520675427004 413 59715216185-9-9-9
  34 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 3 416421125-9-9-9
  35 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 615121191 6 216
  36 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 563916191 6 215
  37 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 217436145-9-9-9
  38 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 341879304135085404 413 1 617336135-9-9-9
  39 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 266936125-9-9-9
  40 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91161798703377842004 413 4 266821137-9-9-9
  41 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 315821138-9-9-9
  42 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 3 411616144-9-9-9
  43 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91452248379222302004 413 6 564621133-9-9-9
  44 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 166646125-9-9-9
  45 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 517621125-9-9-9
  46 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91161798703377842004 413 49768736135-9-9-9
  47 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 467336125-9-9-9
