vc_mid,flow_median,n,mode,road_class,road_class_label
0.47817276364828537,1892.318989711454,2604,car,10,Residential
0.5238900880151496,2065.9313290164932,2433,car,10,Residential
0.6,2814.673125559636,6831,car,10,Residential
0.6262519751935314,2445.6162206963204,1867,car,10,Residential
0.6756708148432583,2642.855905329378,1649,car,10,Residential
0.75,3253.23419392281,4702,car,10,Residential
0.7746597394047555,3017.4833825374044,1431,car,10,Residential
0.8255016348876554,3020.2047503066697,1311,car,10,Residential
0.8999999999999999,3281.5910490350225,4061,car,10,Residential
0.9268290900768387,3088.6523000292823,1361,car,10,Residential
0.9751528419204423,3387.6135673923372,1712,car,10,Residential
1.0464692680024055,35.58837331982438,32135,car,10,Residential
1.0695861383125582,31.29217743229512,7758,car,10,Residential
1.111223731969725,43.00787924705011,2086,car,10,Residential
0.07510027541504201,119.30530975834233,352,car,11,LivingStreet
0.15,249.3274219648455,1879,car,11,LivingStreet
0.3,506.774412537599,257,car,11,LivingStreet
1.05,55.9395217940277,247,car,11,LivingStreet
0.03204162490777407,123.1054905652921,4697,car,12,Service
0.0747909855803065,285.89980291973586,6733,car,12,Service
0.15,728.9687946683223,20281,car,12,Service
0.17474654338559698,680.7022116528867,1086,car,12,Service
0.224993108006831,867.9933945702672,918,car,12,Service
0.3,1522.1324398979664,4537,car,12,Service
0.32548219953487456,1255.3336424011254,408,car,12,Service
0.3758898231569934,1461.3095168025834,494,car,12,Service
0.44999999999999996,2238.99673044283,2003,car,12,Service
0.4713908731675081,1842.2356471164867,261,car,12,Service
0.5244379193198696,2057.867950138497,314,car,12,Service
0.6,2810.2923836002265,1277,car,12,Service
0.6249440428716632,2223.4847404803463,211,car,12,Service
0.670927161663609,2381.63578898875,242,car,12,Service
0.75,3052.406249646681,898,car,12,Service
0.7708628607762489,264.1556020088108,169,car,12,Service
0.8259244936888381,183.30265318119572,158,car,12,Service
0.8999999999999999,3214.445009127827,804,car,12,Service
0.9289760699957663,538.2763047032639,143,car,12,Service
0.9746095052904438,197.4478780177131,226,car,12,Service
1.05,35.79418842772695,4883,car,12,Service
1.0696739640199389,26.114006279584977,756,car,12,Service
1.113884062191407,29.721133845652616,261,car,12,Service
0.02796126154713292,114.1319468713724,34822,car,13,Unclassified
0.07017912081204576,275.2990244473181,20673,car,13,Unclassified
0.15,592.6679503885341,24888,car,13,Unclassified
0.17296684036839557,675.1840298471352,2119,car,13,Unclassified
0.22546765720081252,898.8951679490739,1726,car,13,Unclassified
0.3,1420.4768613656033,3804,car,13,Unclassified
0.3247149555817045,1306.6047372315795,580,car,13,Unclassified
0.37207208593872027,1492.60589987033,521,car,13,Unclassified
0.44999999999999996,2310.982000445934,1313,car,13,Unclassified
0.4744426350362997,1911.4340167360783,350,car,13,Unclassified
0.5253052150265165,2092.8101217598864,281,car,13,Unclassified
0.6,3027.0899323193144,729,car,13,Unclassified
0.6179880526790374,2471.9523916950893,191,car,13,Unclassified
0.67772612390508,2668.070269263134,177,car,13,Unclassified
0.75,3914.5565394624273,575,car,13,Unclassified
0.77684825611874,3097.2990691755936,183,car,13,Unclassified
0.8257859557951771,3060.5192170851783,169,car,13,Unclassified
0.8999999999999999,4129.4308936872285,461,car,13,Unclassified
0.9255799375224438,3309.5045633179852,166,car,13,Unclassified
0.9730122958561234,3418.710564936223,218,car,13,Unclassified
1.036774740474292,138.83551653329334,2694,car,13,Unclassified
